,Lake,Stocked Fish,Dates,latitude,longitude,Directions
0,BUMPING Lake Yakima County Washington,"3,000","Jun 1, 2022",46.848999,-121.3277593,https://www.google.com/maps/search/?api=1&query=BUMPING Lake Yakima County Washington
1,INDIAN FLAT Pond Yakima County Washington,"1,080","Jun 1, 2022",46.9809499,-121.1420287,https://www.google.com/maps/search/?api=1&query=INDIAN FLAT Pond Yakima County Washington
2,ORTING SOLDIERS HM Pierce County Washington,250,"Jun 1, 2022",47.0978795,-122.2042824,https://www.google.com/maps/search/?api=1&query=ORTING SOLDIERS HM Pierce County Washington
3,QUARTZ C PONDNACHESYakima County Washington,600,"Jun 1, 2022",46.730958,-120.699516,https://www.google.com/maps/search/?api=1&query=QUARTZ C PONDNACHESYakima County Washington
4,SARGE HUBBARD Pond Yakima County Washington,"1,008","Jun 1, 2022",46.6015053,-120.4748382,https://www.google.com/maps/search/?api=1&query=SARGE HUBBARD Pond Yakima County Washington
5,SARGE HUBBARD Pond Yakima County Washington,200,"Jun 1, 2022",46.6015053,-120.4748382,https://www.google.com/maps/search/?api=1&query=SARGE HUBBARD Pond Yakima County Washington
6,TIMS Pond Yakima County Washington,"1,320","Jun 1, 2022",46.7318642,-120.7967565,https://www.google.com/maps/search/?api=1&query=TIMS Pond Yakima County Washington
7,WAPATO Lake Pierce County Washington,"2,000","Jun 1, 2022",47.19481,-122.4565584,https://www.google.com/maps/search/?api=1&query=WAPATO Lake Pierce County Washington
8,BLACK Lake Pacific County Washington,"1,596","May 31, 2022",46.3160225,-124.0422092,https://www.google.com/maps/search/?api=1&query=BLACK Lake Pacific County Washington
9,SNAG Lake Pacific County Washington,504,"May 31, 2022",46.4194831,-123.8147843,https://www.google.com/maps/search/?api=1&query=SNAG Lake Pacific County Washington
10,WESTERN Lake Pacific County Washington,504,"May 31, 2022",46.4235019,-123.8203929,https://www.google.com/maps/search/?api=1&query=WESTERN Lake Pacific County Washington
11,BLACK Lake Pacific County Washington,"2,810","May 27, 2022",46.3160225,-124.0422092,https://www.google.com/maps/search/?api=1&query=BLACK Lake Pacific County Washington
12,CARNEY Lake Pierce County Washington,684,"May 27, 2022",47.4029761,-122.7610455,https://www.google.com/maps/search/?api=1&query=CARNEY Lake Pierce County Washington
13,FAILOR Lake Grays Harbor County Washington,100,"May 27, 2022",47.108716,-123.9584045,https://www.google.com/maps/search/?api=1&query=FAILOR Lake Grays Harbor County Washington
14,Lake ABERDEEN Grays Harbor County Washington,300,"May 27, 2022",46.9834021,-123.7422743,https://www.google.com/maps/search/?api=1&query=Lake ABERDEEN Grays Harbor County Washington
15,SNAG Lake Pacific County Washington,950,"May 27, 2022",46.4194831,-123.8147843,https://www.google.com/maps/search/?api=1&query=SNAG Lake Pacific County Washington
16,SYLVIA Lake Grays Harbor County Washington,250,"May 27, 2022",46.9977042,-123.5922925,https://www.google.com/maps/search/?api=1&query=SYLVIA Lake Grays Harbor County Washington
17,UNION FLAT Creek Whitman County Washington,500,"May 27, 2022",46.82787393910623,-117.9924818156095,https://www.google.com/maps/search/?api=1&query=UNION FLAT Creek Whitman County Washington
18,VANCE Creek ADLT Pond Grays Harbor County Washington,250,"May 27, 2022",47.00507560301562,-123.4233594994362,https://www.google.com/maps/search/?api=1&query=VANCE Creek ADLT Pond Grays Harbor County Washington
